 27-04-2024 21:53:57, GPU temperature     ,GPU usage (%)          ,Memory usage  (%)    ,Power percent  (%)   ,Power (W)     ,Fan speed (%)       ,Fan tachometer(RPM)   ,CPU temperature  (C )   ,CPU usage (%)        ,CPU power (W)         ,Framerate (FPS)         ,TOutside ( C),Texhaust ( C),Tinternal ( C)
 27-04-2024 22:05:56,57,94,5838.242,70,104.183,55,1373,100,100,17.32,44.2,20.8,23.1,23.5
 27-04-2024 22:05:57,57,97,5840.461,72,101.958,55,1365,100,100,17.33,44.2,20.8,23.1,23.5
 27-04-2024 22:05:58,58,100,5822.898,74,115.572,55,1374,100,100,17.732,38.3,20.8,23.1,23.5
 27-04-2024 22:05:59,57,97,5818.945,67,101.534,57,1372,100,100,17.587,42.8,20.8,23.1,23.5
 27-04-2024 22:06:00,56,68,5817.117,68,107.622,57,1382,99,100,17.409,44.4,20.8,23.1,23.6
 27-04-2024 22:06:01,57,100,5830.867,69,106.458,57,1387,100,100,16.823,45.9,20.8,23.1,23.6
 27-04-2024 22:06:02,56,86,5841.477,64,102.733,57,1396,100,100,16.616,46.9,20.8,23.1,23.6
 27-04-2024 22:06:03,56,83,5833.461,69,102.933,57,1400,100,100,16.686,42.3,20.8,23.1,23.6
 27-04-2024 22:06:04,57,98,5844.086,69,98.258,55,1399,100,100,16.486,47.2,20.8,23.1,23.6
 27-04-2024 22:06:05,57,96,5834.711,70,105.124,55,1402,100,100,16.329,51.4,20.8,23.1,23.6
 27-04-2024 22:06:06,57,98,5832.805,68,102.162,55,1399,100,100,15.925,51.1,20.8,23.1,23.6
 27-04-2024 22:06:07,57,98,5832.805,69,103.538,55,1382,100,100,16.955,49.9,20.8,23.1,23.6
 27-04-2024 22:06:08,57,95,5830.742,69,109.406,55,1381,100,100,16.892,47.2,20.8,23.1,23.6
 27-04-2024 22:06:09,56,85,5845.23,57,96.36,56,1376,100,100,17.13,38.6,20.8,23.1,23.6
 27-04-2024 22:06:10,56,89,5846.668,64,101.367,56,1382,100,100,17.048,35,20.8,23.1,23.6
 27-04-2024 22:06:11,53,52,5847.16,26,35.641,56,1385,100,100,15.815,33.8,20.8,23.1,23.6
 27-04-2024 22:06:12,57,94,5826.91,69,103.908,56,1395,99,100,16.523,35.6,20.8,23.1,23.6
 27-04-2024 22:06:13,57,98,5835.223,70,99.961,56,1392,100,100,16.778,42.3,20.8,23.1,23.6
 27-04-2024 22:06:14,56,86,5821.785,65,99.196,56,1399,100,100,17.148,40.8,20.8,23.1,23.6
 27-04-2024 22:06:15,56,97,5830.473,68,98.908,56,1394,100,100,17.005,41.3,20.8,23.1,23.6
 27-04-2024 22:06:16,57,99,5840.41,56,50.352,56,1393,99,100,17.636,45.1,20.8,23.1,23.6
 27-04-2024 22:06:17,57,100,5836.129,70,106.313,56,1396,100,100,17.738,47.4,20.8,23.1,23.6
 27-04-2024 22:06:18,56,88,5833.988,64,106.526,56,1393,100,100,17.031,37.3,20.8,23.1,23.6
 27-04-2024 22:06:19,57,100,5835.145,71,100.646,55,1393,100,100,17.213,36.7,20.8,23.1,23.6
 27-04-2024 22:06:20,56,89,5834.52,60,72.967,55,1385,100,100,16.868,37.4,20.8,23.1,23.6
 27-04-2024 22:06:21,56,94,5828.707,64,104.056,55,1377,100,99.999,16.951,40.2,20.8,23.1,23.6
 27-04-2024 22:06:22,56,84,5818.895,58,99.865,55,1380,100,100,17.148,43.7,20.8,23.1,23.6
 27-04-2024 22:06:23,56,83,5830.988,56,60.205,55,1376,100,100,17.308,41.6,20.8,23.1,23.6
